flux_date,jar,ch4_area,co2_area,time,t
2019-05-27,1,3451.62,3018.7,2019-05-27 11:51:00,t1
2019-05-27,2,3376.32,3438.55,2019-05-27 11:55:00,t1
2019-05-27,3,3742.51,3336.45,2019-05-27 11:59:00,t1
2019-05-27,4,3374.57,3248.22,2019-05-27 12:02:00,t1
2019-05-27,5,3308.48,3634.37,2019-05-27 12:08:00,t1
2019-05-27,6,3441.58,3379.64,2019-05-27 12:15:00,t1
2019-05-27,7,2398.83,3360.87,2019-05-27 12:19:00,t1
2019-05-27,8,3338.71,3426.97,2019-05-27 12:22:00,t1
2019-05-27,9,2683.96,3708.12,2019-05-27 12:27:00,t1
2019-05-27,10,3545.69,3405.62,2019-05-27 12:30:00,t1
2019-05-27,11,3519.42,3275.23,2019-05-27 12:33:00,t1
2019-05-27,12,3635.18,3246.8,2019-05-27 12:36:00,t1
2019-05-27,13,3513.01,3486.52,2019-05-27 12:39:00,t1
2019-05-27,14,3538.13,3357.51,2019-05-27 12:43:00,t1
2019-05-27,15,3499.93,3411.12,2019-05-27 12:46:00,t1
2019-05-27,16,2823.31,3309.8,2019-05-27 12:49:00,t1
2019-05-27,17,2531.38,3348.21,2019-05-27 12:54:00,t1
2019-05-27,1,3257.35,3667.18,2019-05-27 14:01:00,t2
2019-05-27,2,3311.23,3668.55,2019-05-27 14:08:00,t2
2019-05-27,3,3307.77,3502.17,2019-05-27 14:12:00,t2
2019-05-27,4,3307.01,3556.63,2019-05-27 14:16:00,t2
2019-05-27,5,3330.31,3647.62,2019-05-27 14:20:00,t2
2019-05-27,6,3335.5,3666.45,2019-05-27 14:24:00,t2
2019-05-27,7,2314.67,3636.05,2019-05-27 14:28:00,t2
2019-05-27,8,3254.44,3681.94,2019-05-27 14:34:00,t2
2019-05-27,9,1195.45,3460.7,2019-05-27 14:38:00,t2
2019-05-27,10,3400.45,3597.07,2019-05-27 14:41:00,t2
2019-05-27,11,3575.64,3655.83,2019-05-27 14:44:00,t2
2019-05-27,12,3530.63,3436.83,2019-05-27 14:48:00,t2
2019-05-27,13,3405.07,3687.41,2019-05-27 14:53:00,t2
2019-05-27,14,3539.5,3657.19,2019-05-27 14:58:00,t2
2019-05-27,15,3401.4,3641.79,2019-05-27 15:03:00,t2
2019-05-27,16,1731.52,3466.57,2019-05-27 15:08:00,t2
2019-05-27,17,2446.66,3633.62,2019-05-27 15:12:00,t2
2019-05-27,1,3490,5527.2,2019-05-27 16:26:00,t3
2019-05-27,2,3020.46,4169.01,2019-05-27 16:32:00,t3
2019-05-27,3,3044.03,3800.67,2019-05-27 16:36:00,t3
2019-05-27,4,3313.3,3971.87,2019-05-27 16:41:00,t3
2019-05-27,5,3305.02,3986.45,2019-05-27 16:44:00,t3
2019-05-27,6,3279.76,3960.17,2019-05-27 16:48:00,t3
2019-05-27,7,2312.86,3925.4,2019-05-27 16:51:00,t3
2019-05-27,8,3195.07,3956.51,2019-05-27 16:54:00,t3
2019-05-27,9,604.8,3420,2019-05-27 16:58:00,t3
2019-05-27,10,3398.23,3929.05,2019-05-27 17:01:00,t3
2019-05-27,11,3572.79,3939.41,2019-05-27 17:04:00,t3
2019-05-27,12,3563.84,3767.99,2019-05-27 17:08:00,t3
2019-05-27,13,3322.19,3882.7,2019-05-27 17:12:00,t3
2019-05-27,14,3543.09,3906.8,2019-05-27 17:15:00,t3
2019-05-27,15,3437.58,3948.26,2019-05-27 17:19:00,t3
2019-05-27,16,1689.06,3715.84,2019-05-27 17:22:00,t3
2019-05-27,17,2409.8,3825.81,2019-05-27 17:26:00,t3
2019-06-07,1,85349.43,3937.6,2019-06-07 10:41:00,t1
2019-06-07,2,22998.14,3632.34,2019-06-07 10:45:00,t1
2019-06-07,3,3947.21,3636.64,2019-06-07 10:53:00,t1
2019-06-07,4,4328.7,3661.72,2019-06-07 10:57:00,t1
2019-06-07,5,4076.88,3885.39,2019-06-07 11:01:00,t1
2019-06-07,6,4381.15,4632.07,2019-06-07 11:05:00,t1
2019-06-07,7,4278.55,4661.76,2019-06-07 11:09:00,t1
2019-06-07,8,3676.44,4809.19,2019-06-07 11:13:00,t1
2019-06-07,9,4008.29,4790.96,2019-06-07 11:16:00,t1
2019-06-07,10,4041.34,5063.74,2019-06-07 11:20:00,t1
2019-06-07,11,4241.12,5408.15,2019-06-07 11:24:00,t1
2019-06-07,12,4109.58,5327.28,2019-06-07 11:27:00,t1
2019-06-07,13,4106.24,5339.75,2019-06-07 11:32:00,t1
2019-06-07,14,3976.76,5528.6,2019-06-07 11:36:00,t1
2019-06-07,16,3972.09,5398.03,2019-06-07 11:39:00,t1
2019-06-07,17,4047.99,5838.2,2019-06-07 11:42:00,t1
2019-06-07,18,3919.05,5882.14,2019-06-07 11:45:00,t1
2019-06-07,19,3860.4,5908.75,2019-06-07 11:48:00,t1
2019-06-07,20,3973.33,6061.73,2019-06-07 11:52:00,t1
2019-06-07,21,3669.24,6175.35,2019-06-07 11:56:00,t1
2019-06-07,22,3835.15,6155.64,2019-06-07 12:00:00,t1
2019-06-07,23,4251.29,6686.76,2019-06-07 12:04:00,t1
2019-06-07,1,3926.94,4351.4,2019-06-07 12:48:00,t2
2019-06-07,2,4119.72,4349.19,2019-06-07 12:51:00,t2
2019-06-07,3,3950.58,4351.95,2019-06-07 12:54:00,t2
2019-06-07,4,4129.64,4331.92,2019-06-07 12:57:00,t2
2019-06-07,5,3676.42,4104.95,2019-06-07 13:00:00,t2
2019-06-07,6,3753.27,7859.96,2019-06-07 13:04:00,t2
2019-06-07,7,3896.32,8100.65,2019-06-07 13:07:00,t2
2019-06-07,8,2963.05,7697,2019-06-07 13:10:00,t2
2019-06-07,9,3665.39,7862.98,2019-06-07 13:14:00,t2
2019-06-07,10,3826.53,8306.6,2019-06-07 13:18:00,t2
2019-06-07,11,3882.37,8719.28,2019-06-07 13:21:00,t2
2019-06-07,12,3732.16,8388.14,2019-06-07 13:24:00,t2
2019-06-07,13,4013.26,8513.22,2019-06-07 13:27:00,t2
2019-06-07,14,3550.98,8175.89,2019-06-07 13:31:00,t2
2019-06-07,16,4024.41,8749.29,2019-06-07 13:34:00,t2
2019-06-07,17,3955.65,9255.73,2019-06-07 13:37:00,t2
2019-06-07,18,3475.65,8821.77,2019-06-07 13:40:00,t2
2019-06-07,19,3507.33,8863.85,2019-06-07 13:45:00,t2
2019-06-07,20,3641.72,8732.68,2019-06-07 13:48:00,t2
