JAR,CH4_AREA,CH4_CONC,CO2_AREA,CO2_CONC,TIME,TIME_POINT
1,3451.62,625.72,3018.7,1201.35,11:51,0
2,3376.32,613.88,3438.55,1271.21,11:55,0
3,3742.51,671.48,3336.45,1254.23,11:59,0
4,3374.57,613.60,3248.22,1239.54,12:02,0
5,3308.48,603.21,3634.37,1303.80,12:08,0
6,3441.58,624.14,3379.64,1261.41,12:15,0
7,2398.83,460.12,3360.87,1258.29,12:19,0
8,3338.71,607.96,3426.97,1269.29,12:22,0
9,2683.96,504.97,3708.12,1316.07,12:27,0
10,3545.69,640.52,3405.62,1265.74,12:30,0
11,3519.42,636.39,3275.23,1244.04,12:33,0
12,3635.18,654.60,3246.8,1239.31,12:36,0
13,3513.01,635.38,3486.52,1279.20,12:39,0
14,3538.13,639.33,3357.51,1257.73,12:43,0
15,3499.93,633.32,3411.12,1266.65,12:46,0
16,2823.31,526.89,3309.8,1249.79,12:49,0
17,2531.38,480.97,3348.21,1256.18,12:54,0
1,3257.35,595.17,3667.18,1309.26,14:01,1
2,3311.23,603.64,3668.55,1309.49,14:08,1
3,3307.77,603.10,3502.17,1281.80,14:12,1
4,3307.01,602.98,3556.63,1290.86,14:16,1
5,3330.31,606.64,3647.62,1306.00,14:20,1
6,3335.5,607.46,3666.45,1309.14,14:24,1
7,2314.67,446.88,3636.05,1304.08,14:28,1
8,3254.44,594.71,3681.94,1311.71,14:34,1
9,1195.45,270.83,3460.7,1274.90,14:38,1
10,3400.45,617.67,3597.07,1297.59,14:41,1
11,3575.64,645.23,3655.83,1307.37,14:44,1
12,3530.63,638.15,3436.83,1270.93,14:48,1
13,3405.07,618.40,3687.41,1312.63,14:53,1
14,3539.5,639.55,3657.19,1307.60,14:58,1
15,3401.4,617.82,3641.79,1305.03,15:03,1
16,1731.52,355.15,3466.57,1275.88,15:08,1
17,2446.66,467.64,3633.62,1303.67,15:12,1
1,3490,587.78,5527.2,1332.64,16:26,2
2,3020.46,515.05,4169.01,1074.58,16:32,2
3,3044.03,518.70,3800.67,1004.60,16:36,2
4,3313.3,560.41,3971.87,1037.13,16:41,2
5,3305.02,559.13,3986.45,1039.90,16:44,2
6,3279.76,555.22,3960.17,1034.90,16:48,2
7,2312.86,405.45,3925.4,1028.30,16:51,2
8,3195.07,542.10,3956.51,1034.21,16:54,2
9,604.8,140.87,3420,932.27,16:58,2
10,3398.23,573.57,3929.05,1028.99,17:01,2
11,3572.79,600.61,3939.41,1030.96,17:04,2
12,3563.84,599.22,3767.99,998.39,17:08,2
13,3322.19,561.79,3882.7,1020.18,17:12,2
14,3543.09,596.01,3906.8,1024.76,17:15,2
15,3437.58,579.66,3948.26,1032.64,17:19,2
16,1689.06,308.82,3715.84,988.48,17:22,2
17,2409.8,420.46,3825.81,1009.37,17:26,2
