JAR,TIME_POINT,CH4_AREA,CH4_CONC,CO2_AREA,CO2_CONC,TIME
1,0,85349.43,16309.35,3937.6,1311.76,10:41
2,0,22998.14,4437.67,3632.34,1254.25,10:45
3,0,3947.21,810.37,3636.64,1255.06,10:53
4,0,4328.7,883.01,3661.72,1259.79,10:57
5,0,4076.88,835.06,3885.39,1301.93,11:01
6,0,4381.15,892.99,4632.07,1442.6,11:05
7,0,4278.55,873.46,4661.76,1448.2,11:09
8,0,3676.44,758.82,4809.19,1475.97,11:13
9,0,4008.29,822,4790.96,1472.54,11:16
10,0,4041.34,828.29,5063.74,1523.93,11:20
11,0,4241.12,866.33,5408.15,1588.82,11:24
12,0,4109.58,841.29,5327.28,1573.58,11:27
13,0,4106.24,840.65,5339.75,1575.93,11:32
14,0,3976.76,816,5528.6,1611.51,11:36
16,0,3972.09,815.11,5398.03,1586.91,11:39
17,0,4047.99,829.56,5838.2,1669.84,11:42
18,0,3919.05,805.01,5882.14,1678.12,11:45
19,0,3860.4,793.84,5908.75,1683.13,11:48
20,0,3973.33,815.35,6061.73,1711.95,11:52
21,0,3669.24,757.45,6175.35,1733.36,11:56
22,0,3835.15,789.04,6155.64,1729.64,12:00
23,0,4251.29,868.27,6686.76,1829.71,12:04
1,1,3926.94,806.51,4351.4,1389.72,12:48
2,1,4119.72,843.22,4349.19,1389.31,12:51
3,1,3950.58,811.01,4351.95,1389.83,12:54
4,1,4129.64,845.11,4331.92,1386.05,12:57
5,1,3676.42,758.81,4104.95,1343.29,13:00
6,1,3753.27,773.45,7859.96,2050.74,13:04
7,1,3896.32,800.68,8100.65,2096.08,13:07
8,1,2963.05,622.99,7697,2020.03,13:10
9,1,3665.39,756.71,7862.98,2051.31,13:14
10,1,3826.53,787.39,8306.6,2134.88,13:18
11,1,3882.37,798.03,8719.28,2212.63,13:21
12,1,3732.16,769.43,8388.14,2150.25,13:24
13,1,4013.26,822.95,8513.22,2173.81,13:27
14,1,3550.98,734.93,8175.89,2110.26,13:31
16,1,4024.41,825.07,8749.29,2218.29,13:34
17,1,3955.65,811.98,9255.73,2313.7,13:37
18,1,3475.65,720.59,8821.77,2231.94,13:40
19,1,3507.33,726.62,8863.85,2239.87,13:45
20,1,3641.72,752.21,8732.68,2215.16,13:48
21,1,3620.62,748.19,9550.67,2369.27,13:51
22,1,3672.18,758.01,9470.04,2354.08,13:54
23,1,3913.63,803.98,9734.49,2403.9,13:57
1,2,3845.78,647.87,4753.98,1702.64,14:48
2,2,4171.03,694.28,4943.84,1739.66,14:51
3,2,3822.92,644.61,4960.36,1742.88,14:56
4,2,4071.08,680.02,4969.78,1744.72,15:00
5,2,3630.55,617.15,4649.16,1682.2,15:05
6,2,4012,671.59,11011.65,2922.88,15:08
7,2,3676.27,623.68,11130.08,2945.98,15:12
8,2,2339.07,432.86,10049.6,2735.28,15:16
9,2,3624.23,616.25,10816.08,2884.75,15:19
10,2,3723.45,630.41,11466.48,3011.57,15:22
11,2,3685.89,625.05,11905.95,3097.27,15:25
12,2,3509.09,599.82,11269.85,2973.23,15:29
13,2,3910.32,657.08,11571.77,3032.11,15:32
14,2,3241.96,561.7,10965.02,2913.79,15:34
16,2,3935.98,660.74,11890.53,3094.26,15:37
17,2,3890.98,654.32,12447.39,3202.85,15:41
18,2,3137.98,546.86,11386.51,2995.98,15:44
19,2,3141.92,547.43,11343.87,2987.66,15:47
20,2,3916.13,657.91,10745.08,2870.9,15:50
21,2,3286.61,568.07,12322.15,3178.43,15:53
22,2,3403.59,584.77,12360.61,3185.93,15:57
23,2,3896.6,655.12,13119.23,3333.86,16:00
1,3,4060.09,678.45,7072.31,2154.71,16:50
2,3,4186.39,696.47,5830.58,1912.57,16:53
3,3,3749.22,634.09,5735.52,1894.04,16:56
4,3,4053.96,677.58,5651.9,1877.73,16:59
5,3,3436.53,589.47,5110.99,1772.25,17:03
6,3,3959.13,664.04,13945.12,3494.91,17:05
7,3,3512.31,600.28,14035.62,3512.56,17:10
8,3,1874.11,366.51,11999.93,3115.6,17:14
9,3,3501.97,598.81,13437.63,3395.95,17:17
10,3,3655.42,620.7,14260.65,3556.44,17:21
11,3,3552.25,605.98,14918.53,3684.72,17:25
12,3,3288.16,568.3,13827.96,3472.06,17:28
13,3,3822.75,644.58,14198.78,3544.37,17:31
14,3,3003.63,527.69,13246.76,3358.73,17:35
16,3,3917.93,658.16,15019.22,3704.36,17:39
17,3,3920.76,658.57,16028.83,3901.23,17:42
18,3,2932.57,517.55,14516.11,3606.25,17:45
19,3,2957.23,521.07,14462.92,3595.88,17:49
20,3,3204.91,556.42,13934.09,3492.76,17:57
21,3,3101.11,541.6,15688.91,3834.95,18:01
22,3,3227.17,559.59,15750.66,3846.99,18:04
23,3,3949.05,662.6,17447.09,4177.79,18:08
