JAR,TIME_POINT,CH4_AREA,CH4_CONC,CO2_AREA,CO2_CONC,DATE,TIME
2,0,6800.83,1109.352093,3526.6,1512.69086,2019-06-14,14:33
3,0,4716.67,802.772157,3434.07,1496.303797,2019-06-14,14:36
4,0,4521.91,774.122961,3419.65,1493.750015,2019-06-14,14:40
5,0,4618.67,788.356357,3376.16,1486.047936,2019-06-14,14:43
6,0,4249.72,734.083812,5009.07,1775.236297,2019-06-14,14:47
7,0,4327.95,745.591445,5455.97,1854.382287,2019-06-14,14:50
8,0,4482.49,768.324279,4889.27,1754.019717,2019-06-14,14:54
9,0,3882.63,680.084873,5324.59,1831.114889,2019-06-14,14:57
10,0,4295.57,740.828347,5769.52,1909.911992,2019-06-14,15:00
11,0,4117.5,714.63425,5946.81,1941.310051,2019-06-14,15:03
12,0,4006.59,698.319389,5736.45,1904.055295,2019-06-14,15:06
13,0,4305.45,742.281695,5826.69,1920.036799,2019-06-14,15:10
14,0,4095.08,711.336268,5738.34,1904.390014,2019-06-14,15:13
16,0,4148.87,719.248777,6263.81,1997.450751,2019-06-14,15:16
17,0,4287.51,739.642721,6097.39,1967.977769,2019-06-14,15:19
18,0,3915.5,684.92005,6082.63,1965.363773,2019-06-14,15:21
19,0,4314.37,743.593827,6222.28,1990.095788,2019-06-14,15:24
20,0,4430.17,760.628007,5947.66,1941.460586,2019-06-14,15:27
21,0,4152.56,719.791576,6283.46,2000.930766,2019-06-14,15:30
22,0,4062.04,706.476084,6540.8,2046.50568,2019-06-14,15:33
23,0,4371.25,751.960875,6577.5,2053.00525,2019-06-14,15:36
2,1,3939.57,688.460747,5414.82,1847.094622,2019-06-14,16:29
3,1,4189.18,725.178378,3958.96,1589.261816,2019-06-14,16:31
4,1,4017.64,699.944844,3837.18,1567.694578,2019-06-14,16:34
5,1,4141.05,718.098455,3686.26,1540.966646,2019-06-14,16:37
6,1,3357.64,602.858844,6407.49,2022.896479,2019-06-14,16:40
7,1,3513.02,625.715242,7232.28,2168.966788,2019-06-14,16:43
8,1,2737.35,511.614185,6112.81,1970.708651,2019-06-14,16:46
9,1,4128.97,716.321487,7490.53,2214.702863,2019-06-14,16:49
10,1,4116.92,714.548932,8037.31,2311.537601,2019-06-14,16:53
11,1,3787.43,666.080953,8046.6,2313.18286,2019-06-14,16:56
12,1,3641.13,644.560223,7658.99,2244.537129,2019-06-14,16:58
13,1,3691.68,651.996128,7514.41,2218.932011,2019-06-14,17:01
14,1,3906.91,683.656461,7733.84,2257.793064,2019-06-14,17:04
16,1,4132.74,716.876054,8560.07,2404.118397,2019-06-14,17:07
17,1,4018.19,700.025749,8056.57,2314.948547,2019-06-14,17:10
18,1,3562.72,633.026112,8084.5,2319.89495,2019-06-14,17:13
19,1,4114.79,714.235609,8320.04,2361.609084,2019-06-14,17:16
20,1,4220.11,729.728181,7839.42,2276.491282,2019-06-14,17:19
21,1,3649.28,645.759088,8176.83,2336.246593,2019-06-14,17:22
22,1,3463.2,618.38672,8413.31,2378.127201,2019-06-14,17:26
23,1,3829.53,672.273863,8517.65,2396.605815,2019-06-14,17:29
2,2,3609.04,639.839784,4685.38,1717.910798,2019-06-14,19:33
3,2,3767.8,663.19338,4575.16,1698.390836,2019-06-14,19:39
4,2,3548.12,630.878452,4560.06,1695.716626,2019-06-14,19:43
5,2,3763.49,662.559379,4415.9,1670.18589,2019-06-14,19:46
6,2,2232.9,437.40959,9019.25,2485.439175,2019-06-14,19:49
7,2,2919.05,538.342255,10981.9,2833.02449,2019-06-14,19:53
8,2,1331.99,304.885729,7785.3,2266.90663,2019-06-14,19:56
9,2,3829.4,672.25474,11410.9,2909.00039,2019-06-14,20:00
10,2,3495.27,623.104217,11644.7,2950.40637,2019-06-14,20:04
11,2,3089.16,563.365436,11608.4,2943.97764,2019-06-14,20:07
12,2,3046.07,557.026897,11064.8,2847.70608,2019-06-14,20:11
13,2,2961.6,544.60136,10590.8,2763.76068,2019-06-14,20:15
14,2,3674.5,649.46895,11543.3,2932.44843,2019-06-14,20:18
16,2,3918.4,685.34664,12599.37,3119.478427,2019-06-14,20:21
17,2,3585.5,636.37705,11993.03,3012.095613,2019-06-14,20:25
18,2,2688.4,504.41364,11216.8,2874.62528,2019-06-14,20:29
19,2,3758,661.7518,12228,3053.7088,2019-06-14,20:32
20,2,4468.2,766.22222,12542.67,3109.436857,2019-06-14,20:36
21,2,2859.4,529.56774,11502.14,2925.158994,2019-06-14,20:40
22,2,2505.7,477.53847,11286.06,2886.891226,2019-06-14,20:43
23,2,3006.9,551.26499,11631.18,2948.011978,2019-06-14,20:48
2,3,3472.26,619.719446,9020.61,2485.680031,2019-06-15,07:22
3,3,3239.98,585.551058,8382.6,2372.68846,2019-06-15,07:25
4,3,3516.88,626.283048,8985.4,2479.44434,2019-06-15,07:28
5,3,2910.7,537.11397,8055.17,2314.700607,2019-06-15,07:31
6,3,650.2,204.59442,16759.5,3856.23745,2019-06-15,07:35
7,3,1495.35,328.915985,24478,5223.1838,2019-06-15,07:38
8,3,130.7,128.17597,11650.6,2951.45126,2019-06-15,07:44
9,3,3345.9,601.13189,29716.3,6150.88673,2019-06-15,07:47
10,3,2384.5,459.70995,27937.1,5835.79041,2019-06-15,07:50
11,3,1886.9,386.51299,27382.5,5737.57075,2019-06-15,07:54
12,3,1836.9,379.15799,25946.7,5483.29057,2019-06-15,07:57
13,3,1534.5,334.67495,23488.6,5047.96106,2019-06-15,08:00
14,3,3311.2,596.02752,29169,6053.9599,2019-06-15,08:04
16,3,3730.9,471.71331,32718.5,6682.57635,2019-06-15,08:08
17,3,2466.1,297.20858,27349.4,5731.70874,2019-06-15,08:12
18,3,1279.8,549.49979,23413.9,5034.73169,2019-06-15,08:17
19,3,2994.9,543.6305,28611.3,5955.19123,2019-06-15,08:20
20,3,2955,326.81981,25518.9,5407.52719,2019-06-15,08:24
21,3,1481.1,261.97813,23881.1,5117.47281,2019-06-15,08:27
22,3,1040.3,333.55699,22414.3,4857.70253,2019-06-15,08:30
23,3,1526.9,333.55699,24119.9,5159.76429,2019-06-15,08:34
