flux_date,jar,,,,
2019-05-27,1,1,2,3,
2019-05-27,2,1,2,3,
2019-05-27,3,1,2,3,
2019-05-27,4,1,2,3,
2019-05-27,5,1,2,3,
2019-05-27,6,1,2,3,
2019-05-27,7,1,2,3,
2019-05-27,8,1,2,3,
2019-05-27,9,1,2,3,
2019-05-27,10,1,2,3,
2019-05-27,11,1,2,3,
2019-05-27,12,1,2,3,
2019-05-27,13,1,2,3,
2019-05-27,14,1,2,3,
2019-05-27,15,1,2,3,
2019-05-27,16,1,2,,
2019-05-27,17,1,2,3,
2019-06-07,1,1,2,3,
2019-06-07,2,1,2,3,
2019-06-07,3,1,2,3,4
2019-06-07,4,1,2,3,4
2019-06-07,5,1,2,3,4
2019-06-07,6,1,2,3,4
2019-06-07,7,1,2,3,4
2019-06-07,8,1,2,3,4
2019-06-07,9,1,2,3,4
2019-06-07,10,1,2,3,4
2019-06-07,11,1,2,3,4
2019-06-07,12,1,2,3,4
2019-06-07,13,1,2,3,4
2019-06-07,14,1,2,3,4
2019-06-07,16,1,2,3,4
2019-06-07,17,1,2,3,4
2019-06-07,18,1,2,3,4
2019-06-07,19,1,2,3,4
2019-06-07,20,1,2,3,4
2019-06-07,21,1,2,3,4
2019-06-07,22,1,2,3,4
2019-06-07,23,1,2,,
2019-06-14,1,1,2,,
2019-06-14,2,1,2,3,
2019-06-14,3,1,2,3,
2019-06-14,4,1,2,3,
2019-06-14,5,1,2,3,
2019-06-14,6,1,2,3,
2019-06-14,7,1,2,3,
2019-06-14,8,1,2,3,4
2019-06-14,9,1,2,3,4
2019-06-14,10,1,2,3,4
2019-06-14,11,1,2,3,4
2019-06-14,12,1,2,3,
2019-06-14,13,1,2,3,
2019-06-14,15,1,2,3,4
2019-06-14,16,1,2,3,4
2019-06-14,17,1,2,3,4
2019-06-14,18,1,2,3,4
2019-06-14,19,1,2,4,4
2019-06-14,20,1,2,3,
2019-06-14,21,1,2,3,
2019-06-14,22,1,2,3,
