flux_date,jar,t0,t1,t2,t3,t4
2019-05-27,1,2019-05-27 11:51:00,2019-05-27 11:51:00,2019-05-27 14:01:00,2019-05-27 16:26:00,NA
2019-05-27,2,2019-05-27 11:51:00,2019-05-27 11:55:00,2019-05-27 14:08:00,2019-05-27 16:32:00,NA
2019-05-27,3,2019-05-27 11:51:00,2019-05-27 11:59:00,2019-05-27 14:12:00,2019-05-27 16:36:00,NA
2019-05-27,4,2019-05-27 11:51:00,2019-05-27 12:02:00,2019-05-27 14:16:00,2019-05-27 16:41:00,NA
2019-05-27,5,2019-05-27 11:51:00,2019-05-27 12:08:00,2019-05-27 14:20:00,2019-05-27 16:44:00,NA
2019-05-27,6,2019-05-27 11:51:00,2019-05-27 12:15:00,2019-05-27 14:24:00,2019-05-27 16:48:00,NA
2019-05-27,7,2019-05-27 11:51:00,2019-05-27 12:19:00,2019-05-27 14:28:00,2019-05-27 16:51:00,NA
2019-05-27,8,2019-05-27 11:51:00,2019-05-27 12:22:00,2019-05-27 14:34:00,2019-05-27 16:54:00,NA
2019-05-27,9,2019-05-27 11:51:00,2019-05-27 12:27:00,2019-05-27 14:38:00,2019-05-27 16:58:00,NA
2019-05-27,10,2019-05-27 11:51:00,2019-05-27 12:30:00,2019-05-27 14:41:00,2019-05-27 17:01:00,NA
2019-05-27,11,2019-05-27 11:51:00,2019-05-27 12:33:00,2019-05-27 14:44:00,2019-05-27 17:04:00,NA
2019-05-27,12,2019-05-27 11:51:00,2019-05-27 12:36:00,2019-05-27 14:48:00,2019-05-27 17:08:00,NA
2019-05-27,13,2019-05-27 11:51:00,2019-05-27 12:39:00,2019-05-27 14:53:00,2019-05-27 17:12:00,NA
2019-05-27,14,2019-05-27 11:51:00,2019-05-27 12:43:00,2019-05-27 14:58:00,2019-05-27 17:15:00,NA
2019-05-27,15,2019-05-27 11:51:00,2019-05-27 12:46:00,2019-05-27 15:03:00,2019-05-27 17:19:00,NA
2019-05-27,16,2019-05-27 11:51:00,2019-05-27 12:49:00,2019-05-27 15:08:00,2019-05-27 17:22:00,NA
2019-05-27,17,2019-05-27 11:51:00,2019-05-27 12:54:00,2019-05-27 15:12:00,2019-05-27 17:26:00,NA
2019-06-07,1,2019-06-07 10:41:00,2019-06-07 10:41:00,2019-06-07 12:48:00,2019-06-07 14:48:00,2019-06-07 16:50:00
2019-06-07,2,2019-06-07 10:41:00,2019-06-07 10:45:00,2019-06-07 12:51:00,2019-06-07 14:51:00,2019-06-07 16:53:00
2019-06-07,3,2019-06-07 10:41:00,2019-06-07 10:53:00,2019-06-07 12:54:00,2019-06-07 14:56:00,2019-06-07 16:56:00
2019-06-07,4,2019-06-07 10:41:00,2019-06-07 10:57:00,2019-06-07 12:57:00,2019-06-07 15:00:00,2019-06-07 16:59:00
2019-06-07,5,2019-06-07 10:41:00,2019-06-07 11:01:00,2019-06-07 13:00:00,2019-06-07 15:05:00,2019-06-07 17:03:00
2019-06-07,6,2019-06-07 10:41:00,2019-06-07 11:05:00,2019-06-07 13:04:00,2019-06-07 15:08:00,2019-06-07 17:05:00
2019-06-07,7,2019-06-07 10:41:00,2019-06-07 11:09:00,2019-06-07 13:07:00,2019-06-07 15:12:00,2019-06-07 17:10:00
2019-06-07,8,2019-06-07 10:41:00,2019-06-07 11:13:00,2019-06-07 13:10:00,2019-06-07 15:16:00,2019-06-07 17:14:00
2019-06-07,9,2019-06-07 10:41:00,2019-06-07 11:16:00,2019-06-07 13:14:00,2019-06-07 15:19:00,2019-06-07 17:17:00
2019-06-07,10,2019-06-07 10:41:00,2019-06-07 11:20:00,2019-06-07 13:18:00,2019-06-07 15:22:00,2019-06-07 17:21:00
2019-06-07,11,2019-06-07 10:41:00,2019-06-07 11:24:00,2019-06-07 13:21:00,2019-06-07 15:25:00,2019-06-07 17:25:00
2019-06-07,12,2019-06-07 10:41:00,2019-06-07 11:27:00,2019-06-07 13:24:00,2019-06-07 15:29:00,2019-06-07 17:28:00
2019-06-07,13,2019-06-07 10:41:00,2019-06-07 11:32:00,2019-06-07 13:27:00,2019-06-07 15:32:00,2019-06-07 17:31:00
2019-06-07,14,2019-06-07 10:41:00,2019-06-07 11:36:00,2019-06-07 13:31:00,2019-06-07 15:34:00,2019-06-07 17:35:00
2019-06-07,16,2019-06-07 10:41:00,2019-06-07 11:39:00,2019-06-07 13:34:00,2019-06-07 15:37:00,2019-06-07 17:39:00
2019-06-07,17,2019-06-07 10:41:00,2019-06-07 11:42:00,2019-06-07 13:37:00,2019-06-07 15:41:00,2019-06-07 17:42:00
2019-06-07,18,2019-06-07 10:41:00,2019-06-07 11:45:00,2019-06-07 13:40:00,2019-06-07 15:44:00,2019-06-07 17:45:00
2019-06-07,19,2019-06-07 10:41:00,2019-06-07 11:48:00,2019-06-07 13:45:00,2019-06-07 15:47:00,2019-06-07 17:49:00
2019-06-07,20,2019-06-07 10:41:00,2019-06-07 11:52:00,2019-06-07 13:48:00,2019-06-07 15:50:00,2019-06-07 17:57:00
2019-06-07,21,2019-06-07 10:41:00,2019-06-07 11:56:00,2019-06-07 13:51:00,2019-06-07 15:53:00,2019-06-07 18:01:00
2019-06-07,22,2019-06-07 10:41:00,2019-06-07 12:00:00,2019-06-07 13:54:00,2019-06-07 15:57:00,2019-06-07 18:04:00
2019-06-07,23,2019-06-07 10:41:00,2019-06-07 12:04:00,2019-06-07 13:57:00,2019-06-07 16:00:00,2019-06-07 18:08:00
2019-06-14,1,2019-06-14 14:33:00,2019-06-14 14:33:00,2019-06-14 16:29:00,2019-06-14 19:33:00,2019-06-15 07:22:00
2019-06-14,2,2019-06-14 14:33:00,2019-06-14 14:36:00,2019-06-14 16:31:00,2019-06-14 19:39:00,2019-06-15 07:25:00
2019-06-14,3,2019-06-14 14:33:00,2019-06-14 14:40:00,2019-06-14 16:34:00,2019-06-14 19:43:00,2019-06-15 07:28:00
2019-06-14,4,2019-06-14 14:33:00,2019-06-14 14:43:00,2019-06-14 16:37:00,2019-06-14 19:46:00,2019-06-15 07:31:00
2019-06-14,5,2019-06-14 14:33:00,2019-06-14 14:47:00,2019-06-14 16:40:00,2019-06-14 19:49:00,2019-06-15 07:35:00
2019-06-14,6,2019-06-14 14:33:00,2019-06-14 14:50:00,2019-06-14 16:43:00,2019-06-14 19:53:00,2019-06-15 07:38:00
2019-06-14,7,2019-06-14 14:33:00,2019-06-14 14:54:00,2019-06-14 16:46:00,2019-06-14 19:56:00,2019-06-15 07:44:00
2019-06-14,8,2019-06-14 14:33:00,2019-06-14 14:57:00,2019-06-14 16:49:00,2019-06-14 20:00:00,2019-06-15 07:47:00
2019-06-14,9,2019-06-14 14:33:00,2019-06-14 15:00:00,2019-06-14 16:53:00,2019-06-14 20:04:00,2019-06-15 07:50:00
2019-06-14,10,2019-06-14 14:33:00,2019-06-14 15:03:00,2019-06-14 16:56:00,2019-06-14 20:07:00,2019-06-15 07:54:00
2019-06-14,11,2019-06-14 14:33:00,2019-06-14 15:06:00,2019-06-14 16:58:00,2019-06-14 20:11:00,2019-06-15 07:57:00
