flux_date,molecule,standard_ppm,injection_ml,injection_ppm,area
2019-09-24,ch4,999,1,999,6757.81
2019-09-24,ch4,999,0.7,699.3,4523.62
2019-09-24,ch4,999,0.5,499.5,3102.31
2019-09-24,ch4,999,0.3,299.7,1526.41
2019-09-24,ch4,999,0.1,99.9,167.46
2019-09-24,co2,10100,1,10100,47378.47
2019-09-24,co2,10100,0.7,7070,34492.96
2019-09-24,co2,10100,0.5,5050,23497.53
2019-09-24,co2,10100,0.3,3030,12584.65
2019-09-24,co2,10100,0.1,1010,1462.86
2019-10-23,ch4,999,1,999,6958.2
2019-10-23,ch4,999,0.7,699.3,4733.5
2019-10-23,ch4,999,0.5,499.5,3375.6
2019-10-23,ch4,999,0.3,299.7,1914.7
2019-10-23,ch4,999,0.1,99.9,562
2019-10-23,co2,10100,1,10100,9208
2019-10-23,co2,10100,0.7,7070,6248
2019-10-23,co2,10100,0.5,5050,4364.6
2019-10-23,co2,10100,0.3,3030,2939.7
2019-10-23,co2,10100,0.1,1010,904.2
2019-11-19,ch4,999,1,999,6660
2019-11-19,ch4,999,0.7,699.3,4586
2019-11-19,ch4,999,0.5,499.5,3058
2019-11-19,ch4,999,0.3,299.7,1563
2019-11-19,ch4,999,0.1,99.9,392
2019-12-10,ch4,999,1,999,6777
2019-12-10,ch4,999,0.7,699.3,4279
2019-12-10,ch4,999,0.5,499.5,2992
2019-12-10,ch4,999,0.3,299.7,1443
2019-12-10,ch4,999,0.1,99.9,23
2020-03-09,ch4,999,1,999,6741
2020-03-09,ch4,999,0.7,699.3,4578
2020-03-09,ch4,999,0.5,499.5,3234
2020-03-09,ch4,999,0.3,299.7,1877
2020-03-09,ch4,999,0.1,99.9,563
