flux_date,jar,t0,t1,t2,t3,t4,t5
2019-09-24,n01,2019-09-24 11:34:00,2019-09-24 11:47:00,2019-09-24 14:52:00,2019-09-24 17:03:00,2019-09-25 13:54:00,2019-09-26 11:05:00
2019-09-24,n02,2019-09-24 11:35:00,2019-09-24 11:50:00,2019-09-24 14:54:00,2019-09-24 17:06:00,2019-09-25 13:57:00,2019-09-26 11:08:00
2019-09-24,n03,2019-09-24 11:35:00,2019-09-24 11:53:00,2019-09-24 14:57:00,2019-09-24 17:08:00,2019-09-25 13:59:00,2019-09-26 11:10:00
2019-09-24,n04,2019-09-24 11:36:00,2019-09-24 11:56:00,2019-09-24 15:00:00,2019-09-24 17:11:00,2019-09-25 14:02:00,2019-09-26 11:14:00
2019-09-24,n05,2019-09-24 11:36:00,2019-09-24 11:59:00,2019-09-24 15:04:00,2019-09-24 17:14:00,2019-09-25 14:04:00,2019-09-26 11:17:00
2019-09-24,n06,2019-09-24 11:37:00,2019-09-24 12:02:00,2019-09-24 15:06:00,2019-09-24 17:16:00,2019-09-25 14:07:00,2019-09-26 11:20:00
2019-09-24,n07,2019-09-24 11:37:00,2019-09-24 12:05:00,2019-09-24 15:09:00,2019-09-24 17:18:00,2019-09-25 14:10:00,2019-09-26 11:23:00
2019-09-24,n08,2019-09-24 11:38:00,2019-09-24 12:08:00,2019-09-24 15:12:00,2019-09-24 17:21:00,2019-09-25 14:12:00,2019-09-26 11:26:00
2019-09-24,n09,2019-09-24 11:38:00,2019-09-24 12:10:00,2019-09-24 15:14:00,2019-09-24 17:24:00,2019-09-25 14:15:00,2019-09-26 11:29:00
2019-09-24,n10,2019-09-24 11:39:00,2019-09-24 12:13:00,2019-09-24 15:17:00,2019-09-24 17:27:00,2019-09-25 14:17:00,2019-09-26 11:32:00
2019-09-24,n11,2019-09-24 11:39:00,2019-09-24 12:15:00,2019-09-24 15:19:00,2019-09-24 17:30:00,2019-09-25 14:20:00,2019-09-26 11:35:00
2019-09-24,p01,2019-09-24 11:40:00,2019-09-24 12:17:00,2019-09-24 15:22:00,2019-09-24 17:33:00,2019-09-25 14:22:00,2019-09-26 11:38:00
