"term" "df" "SumOfSqs" "R2" "statistic" "p.value"
"1" "Passage" 1 192687.591290491 0.419329115639756 34.9573360232115 0.001
"2" "Treatment" 1 21430.5165025672 0.0466373546554795 3.88791910010343 0.006
"3" "Pass:Treat" 1 13888.5630478253 0.030224462412692 2.51965973569337 0.038
"4" "Residual" 42 231507.310191685 0.503809067292072 NA NA
"5" "Total" 45 459513.981032569 1 NA NA
"6" "Passage" 1 3.68019208690407 0.47353513290487 42.5092315862102 0.001
"7" "Treatment" 1 0.263444263744117 0.0338977182438434 3.04299692872233 0.019
"8" "Pass:Treat" 1 0.191998075612072 0.0247046436994342 2.21773496262426 0.072
"9" "Residual" 42 3.63610589705677 0.467862505151853 NA NA
"10" "Total" 45 7.77174032331703 1 NA NA
