function	G2N01	G2N02	G2N03	G2N04	G2N05	G2N06	G2N07	G2N08	G2N09	G2N10	G2N11	G2N12	G2P01	G2P02	G2P03	G2P04	G2P05	G2P06	G2P07	G2P08	G2P09	G2P10	G2P11	G2P12	G5N01	G5N02	G5N03	G5N04	G5N05	G5N06	G5N07	G5N08	G5N09	G5N10	G5N11	G5N12	G5P01	G5P02	G5P03	G5P04	G5P05	G5P06	G5P07	G5P08	G5P09	G5P10	G5P11	G5P12	NC01	NC02	NC03	NC04	NC05	PCRN	PCRP	PM01	PM02	PM03	SC01	SC02
--LIMONENE-6-MONOOXYGENASE-RXN	4.57	3.71	1.93	3.14	0.57	1.36	3.0	4.14	5.07	6.57	4.43	4.71	4.5	6.5	2.36	2.0	9.57	7.86	1.71	3.93	4.14	1.43	1.57	1.79	0.43	1.71	2.36	1.14	3.93	0.36	1.14	0.79	4.43	0.93	0.71	4.86	0.93	1.57	1.43	3.86	0.5	0.5	0.64	1.93	4.0	3.36	6.43	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.64	3.07	2.29	0.0	0.0
--LIMONENE-7-MONOOXYGENASE-RXN	4.57	3.71	1.93	3.14	0.57	1.36	3.0	4.14	5.07	6.57	4.43	4.71	4.5	6.5	2.36	2.0	9.57	7.86	1.71	3.93	4.14	1.43	1.57	1.79	0.43	1.71	2.36	1.14	3.93	0.36	1.14	0.79	4.43	0.93	0.71	4.86	0.93	1.57	1.43	3.86	0.5	0.5	0.64	1.93	4.0	3.36	6.43	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.64	3.07	2.29	0.0	0.0
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	410207.48	482183.14	427054.98	490216.8000000001	455487.52	583969.74	276455.36	395712.51	449045.08	503127.67	527198.5800000001	461897.45	487765.22	630027.86	543792.44	597799.29	602527.01	616329.4	445760.22	495825.28	455473.0	475361.58	622579.95	329808.53	531971.0900000001	539206.5	489412.43	648171.9700000001	520656.2199999999	535363.09	491177.7	471079.46	555475.9	496823.04	651324.5499999999	415257.58	542793.7200000001	504649.97	510636.82000000007	621345.68	663440.0199999999	566061.87	438407.67	412541.72	535338.58	581417.06	541709.3600000001	320203.05	4247.75	71099.14	43681.31	141672.79	33352.78	19202.75	76796.79999999999	419043.18	252145.13000000003	478249.39	524963.9	483476.8
1.1.1.136-RXN	33129.55	36052.94	35275.67	33435.6	60681.98999999999	50930.880000000005	21019.39	37698.82	38450.62	47068.240000000005	54691.29	47719.130000000005	34882.96000000001	63816.32	33096.34	37276.47	43415.02	50348.66	37615.64	40285.65	32951.87	36971.47	55386.37	26589.25	30647.98	33252.310000000005	29957.98	33701.42	39534.25	30057.83	29831.26	30417.25	46384.18	27784.51	35733.31	28358.52	33783.09	35664.86	31686.08	42124.37	33825.4	31393.49	24401.35	30668.320000000003	36126.420000000006	32181.910000000003	40369.19	22276.6	404.1	5039.83	4522.28	25276.24	5528.9400000000005	2684.5	19.72	67239.04000000001	87353.06	66480.51000000001	90883.81	92202.17
1.1.1.145-RXN	1108.0	1793.0	1629.0	1874.5	981.5	1229.0	867.5	1901.0	1519.0	834.0	2440.0	1857.0	641.5	1001.0	535.0	462.5	888.5	699.5	579.5	805.5	1366.5	596.0	771.5	375.0	1087.0	682.0	809.5	739.0	844.5	837.0	1162.0	1360.5	1470.0	1111.0	1268.5	1085.0	612.0	446.5	694.0	549.0	405.5	333.5	526.0	440.0	733.0	666.0	270.5	501.5	0.0	468.0	130.0	338.0	56.0	0.0	0.0	1568.5	687.0	1937.0	1628.5	1684.0
1.1.1.170-RXN	22.0	84.0	48.0	117.0	70.0	171.0	14.0	26.0	66.0	23.0	251.0	84.0	10.0	89.0	22.0	34.0	14.0	54.0	34.0	55.0	64.0	69.0	64.0	102.0	84.0	24.0	5.0	6.0	2.0	107.0	41.0	21.0	2.0	46.0	52.0	20.0	673.0	46.0	71.0	92.0	57.0	27.0	302.0	67.0	32.0	28.0	10.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	24.0	158.0	229.0
1.1.1.215-RXN	31942.27	33958.25	31650.08	31773.3	18274.99	25314.02	20313.119999999995	26019.15	22636.76	43991.21000000001	25626.65	23911.58	35444.619999999995	26909.08	23518.46	25008.38	35413.869999999995	33281.21	21540.5	23875.46	20055.6	18482.52	31439.619999999995	14878.43	15903.489999999998	24901.69	31426.24	47466.03	43328.24	17930.4	22136.47	19730.73	47914.21	16991.629999999997	17576.23	25733.58	20876.6	29323.54	28910.33	45081.63	22850.52	25586.23	18600.56	31206.81	25338.8	23927.9	32165.65	17051.11	809.5	7164.26	3790.93	5587.5	3638.66	4582.5	76516.84	22046.03	16639.0	18868.4	6300.030000000001	5195.66
1.1.1.251-RXN	0.0	1.4	0.0	0.0	11.33	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	7.33	2.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	3.0	0.0	8.0	1.0	0.0	4.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.67	0.0	2.0	1.0	1.0	6.0	3.33	5.0	0.0	0.0	28.43	0.0	2.33	3.67	76498.34	18.0	1.0	21.0	0.0	3.67
1.1.1.252-RXN	86.0	91.0	62.0	74.0	113.0	308.0	17.0	106.0	336.0	49.0	269.0	232.0	489.0	389.0	1080.0	711.0	827.0	537.0	336.0	213.0	503.0	400.0	442.0	262.0	395.0	96.0	186.0	231.0	180.0	196.0	222.0	315.0	262.0	174.0	380.0	199.0	118.0	85.0	32.0	82.0	220.0	37.0	125.0	27.0	110.0	98.0	279.0	41.0	0.0	0.0	2.0	275.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	84.0
1.1.1.253-RXN	11520.61	18081.7	15811.9	16860.129999999997	51492.72	29252.34	10773.27	15691.35	14726.27	27456.71	21962.89	17363.81	24235.4	29223.94	14052.990000000002	19883.71	14913.16	16572.53	17496.739999999998	17367.629999999997	11514.41	16870.85	23553.53	11630.89	13436.0	16887.100000000002	19538.78	26595.029999999995	25868.55	15797.490000000002	15204.78	15306.14	13887.739999999998	12648.3	15861.47	12521.7	16185.72	14935.25	16230.11	20577.64	12844.93	13015.15	10863.51	11859.84	11133.71	10139.5	12830.98	9278.329999999998	12.08	1117.42	1117.84	20998.84	3217.24	241.5	3.0	4948.0	1469.4900000000002	7124.349999999999	86313.44	83397.15000000001
