sample,vol_ul,qubit_ngml
g2n01,1,91.7
g2n02,1,86.6
g2n03,1,36.9
g2n04,1,37.3
g2n05,1,73.7
g2n06,1,173
g2n07,1,117
g2n08,1,354
g2n09,1,113
g2n10,1,62.1
g2n11,1,157
g2n12,1,165
g2p01,1,38.2
g2p02,1,133
g2p03,1,36
g2p04,1,32.3
g2p05,1,26.9
g2p06,1,89.5
g2p07,1,169
g2p08,1,121
g2p09,1,95.8
g2p10,1,68.2
g2p11,1,90.9
g2p12,1,79.2
g5n01,1,126
g5n02,1,57.9
g5n03,1,22.5
g5n04,1,23.4
g5n05,1,12
g5n06,1,111
g5n07,1,91.2
g5n08,1,109
g5n09,1,67.3
g5n10,1,39.5
g5n11,1,66.7
g5n12,1,45
g5p01,1,65
g5p02,1,85
g5p03,1,18.7
g5p04,1,22
g5p05,1,33.4
g5p06,1,67.3
g5p07,1,151
g5p08,1,79.1
g5p09,1,83.4
g5p10,1,98.4
g5p11,1,53.9
g5p12,1,83.4
